,date,team1,team2,daybefore,winrate
123,2021-06-20,T1,Liiv Sandbox,2021-06-19,72.4%
124,2021-06-20,Liiv Sandbox,T1,2021-06-19,27.6%
125,2021-06-19,kt Rolster,Afreeca Freecs,2021-06-18,50.7%
126,2021-06-19,Afreeca Freecs,kt Rolster,2021-06-18,49.3%
127,2021-06-19,DRX,DWG KIA,2021-06-18,50%
128,2021-06-19,DWG KIA,DRX,2021-06-18,50%
129,2021-06-18,NS RED FORCE,Gen.G eSports,2021-06-17,0%
130,2021-06-18,Hanwha Life Esports,Liiv Sandbox,2021-06-17,26.1%
131,2021-06-18,Liiv Sandbox,Hanwha Life Esports,2021-06-17,73.9%
132,2021-06-17,Afreeca Freecs,DWG KIA,2021-06-16,21.7%
133,2021-06-17,DWG KIA,Afreeca Freecs,2021-06-16,78.3%
134,2021-06-17,Fredit BRION,T1,2021-06-16,25%
135,2021-06-17,T1,Fredit BRION,2021-06-16,75%
136,2021-06-16,kt Rolster,Gen.G eSports,2021-06-15,60.2%
137,2021-06-16,NS RED FORCE,DRX,2021-06-15,36.4%
138,2021-06-16,DRX,NS RED FORCE,2021-06-15,63.6%
139,2021-06-13,Afreeca Freecs,DRX,2021-06-12,36.3%
140,2021-06-13,DRX,Afreeca Freecs,2021-06-12,63.8%
141,2021-06-13,DWG KIA,kt Rolster,2021-06-12,77.8%
142,2021-06-13,kt Rolster,DWG KIA,2021-06-12,22.2%
143,2021-06-12,Hanwha Life Esports,Gen.G eSports,2021-06-11,50%
144,2021-06-12,Liiv Sandbox,NS RED FORCE,2021-06-11,35.3%
145,2021-06-12,NS RED FORCE,Liiv Sandbox,2021-06-11,64.7%
146,2021-06-11,DWG KIA,T1,2021-06-10,63.6%
147,2021-06-11,T1,DWG KIA,2021-06-10,36.4%
148,2021-06-11,Fredit BRION,Afreeca Freecs,2021-06-10,27.6%
149,2021-06-11,Afreeca Freecs,Fredit BRION,2021-06-10,72.4%
150,2021-06-10,Gen.G eSports,DRX,2021-06-09,55.6%
151,2021-06-10,DRX,Gen.G eSports,2021-06-09,44.4%
152,2021-06-10,kt Rolster,NS RED FORCE,2021-06-09,30.8%
153,2021-06-10,NS RED FORCE,kt Rolster,2021-06-09,69.2%
154,2021-06-09,Hanwha Life Esports,T1,2021-06-08,30.6%
155,2021-06-09,T1,Hanwha Life Esports,2021-06-08,69.4%
156,2021-06-09,Liiv Sandbox,Fredit BRION,2021-06-08,50%
157,2021-06-09,Fredit BRION,Liiv Sandbox,2021-06-08,50%
158,2021-04-11,Gen.G eSports,DWG KIA,2021-04-10,50%
159,2021-04-11,DWG KIA,Gen.G eSports,2021-04-10,50%
160,2021-04-04,T1,Gen.G eSports,2021-04-03,64.4%
161,2021-04-04,Gen.G eSports,T1,2021-04-03,35.6%
162,2021-04-03,DWG KIA,Hanwha Life Esports,2021-04-02,77.8%
