,date,player1,player2,daybefore,winrate
146,2021-06-12,Morgan,Rascal,2021-06-11,40%
147,2021-06-12,Summit,Rich,2021-06-11,35.3%
148,2021-06-12,Rich,Summit,2021-06-11,64.7%
149,2021-06-11,Khan,Canna,2021-06-10,50%
150,2021-06-11,Canna,Khan,2021-06-10,50%
151,2021-06-11,Hoya,Kiin,2021-06-10,50%
152,2021-06-11,Kiin,Hoya,2021-06-10,50%
153,2021-06-10,Rascal,Kingen,2021-06-09,50%
154,2021-06-10,Kingen,Rascal,2021-06-09,50%
155,2021-06-10,Doran,Rich,2021-06-09,53.8%
156,2021-06-10,Rich,Doran,2021-06-09,46.2%
157,2021-06-09,Morgan,Canna,2021-06-08,20%
158,2021-06-09,Canna,Morgan,2021-06-08,80%
159,2021-06-09,Summit,Hoya,2021-06-08,50%
160,2021-06-09,Hoya,Summit,2021-06-08,50%
161,2021-04-11,Rascal,Khan,2021-04-10,31.6%
162,2021-04-11,Khan,Rascal,2021-04-10,68.4%
163,2021-04-04,Canna,Rascal,2021-04-03,58.3%
164,2021-04-04,Rascal,Canna,2021-04-03,41.7%
165,2021-04-03,Khan,Morgan,2021-04-02,60%
166,2021-04-03,Morgan,Khan,2021-04-02,40%
167,2021-04-01,Kingen,Canna,2021-03-31,0%
168,2021-04-01,Canna,Kingen,2021-03-31,100%
169,2021-03-31,Morgan,Rich,2021-03-30,100%
170,2021-03-31,Rich,Morgan,2021-03-30,0%
171,2021-03-28,Summit,Kingen,2021-03-27,50%
172,2021-03-28,Kingen,Summit,2021-03-27,50%
173,2021-03-28,Canna,Morgan,2021-03-27,66.7%
174,2021-03-28,Morgan,Canna,2021-03-27,33.3%
175,2021-03-27,Hoya,Rich,2021-03-26,0%
176,2021-03-27,Rich,Hoya,2021-03-26,100%
177,2021-03-27,Khan,Doran,2021-03-26,70%
178,2021-03-27,Doran,Khan,2021-03-26,30%
179,2021-03-26,Summit,Kiin,2021-03-25,48%
180,2021-03-26,Kiin,Summit,2021-03-25,52%
181,2021-03-26,Rascal,Kingen,2021-03-25,33.3%
182,2021-03-25,Doran,Rich,2021-03-24,50%
183,2021-03-25,Rich,Doran,2021-03-24,50%
184,2021-03-25,Morgan,Hoya,2021-03-24,100%
185,2021-03-25,Hoya,Morgan,2021-03-24,0%
186,2021-03-21,Canna,Kiin,2021-03-20,57.9%
187,2021-03-21,Kiin,Canna,2021-03-20,42.1%
188,2021-03-21,Khan,Kingen,2021-03-20,100%
189,2021-03-21,Kingen,Khan,2021-03-20,0%
190,2021-03-20,Doran,Rascal,2021-03-19,59.1%
191,2021-03-20,Rascal,Doran,2021-03-19,40.9%
192,2021-03-20,Hoya,Summit,2021-03-19,100%
193,2021-03-20,Summit,Hoya,2021-03-19,0%
194,2021-03-19,Kingen,Canna,2021-03-18,
195,2021-03-19,Canna,Kingen,2021-03-18,
196,2021-03-19,Rich,Kiin,2021-03-18,33.3%
197,2021-03-19,Kiin,Rich,2021-03-18,66.7%
198,2021-03-18,Doran,Morgan,2021-03-17,0%
199,2021-03-18,Morgan,Doran,2021-03-17,100%
200,2021-03-18,Rascal,Khan,2021-03-17,25%
201,2021-03-18,Khan,Rascal,2021-03-17,75%
202,2021-03-14,Rich,Khan,2021-03-13,0%
203,2021-03-14,Khan,Rich,2021-03-13,100%
204,2021-03-14,Summit,Morgan,2021-03-13,100%
205,2021-03-14,Morgan,Summit,2021-03-13,0%
206,2021-03-13,Kiin,Hoya,2021-03-12,100%
207,2021-03-13,Hoya,Kiin,2021-03-12,0%
208,2021-03-13,Canna,Rascal,2021-03-12,54.5%
