,date,team1,team2,daybefore,twoweeks,winrate1,winrate2
148,2021-06-11,Fredit BRION,Afreeca Freecs,2021-06-10,2021-05-27,100%,NAN%
149,2021-06-11,Afreeca Freecs,Fredit BRION,2021-06-10,2021-05-27,NAN%,100%
150,2021-06-10,Gen.G eSports,DRX,2021-06-09,2021-05-26,NAN%,NAN%
151,2021-06-10,DRX,Gen.G eSports,2021-06-09,2021-05-26,NAN%,NAN%
152,2021-06-10,kt Rolster,NS RED FORCE,2021-06-09,2021-05-26,NAN%,NAN%
153,2021-06-10,NS RED FORCE,kt Rolster,2021-06-09,2021-05-26,NAN%,NAN%
154,2021-06-09,Hanwha Life Esports,T1,2021-06-08,2021-05-25,NAN%,NAN%
155,2021-06-09,T1,Hanwha Life Esports,2021-06-08,2021-05-25,NAN%,NAN%
156,2021-06-09,Liiv Sandbox,Fredit BRION,2021-06-08,2021-05-25,NAN%,NAN%
157,2021-06-09,Fredit BRION,Liiv Sandbox,2021-06-08,2021-05-25,NAN%,NAN%
158,2021-04-11,Gen.G eSports,DWG KIA,2021-04-10,2021-03-27,100%,83.3%
159,2021-04-11,DWG KIA,Gen.G eSports,2021-04-10,2021-03-27,83.3%,100%
160,2021-04-04,T1,Gen.G eSports,2021-04-03,2021-03-20,77.8%,80%
161,2021-04-04,Gen.G eSports,T1,2021-04-03,2021-03-20,80%,77.8%
162,2021-04-03,DWG KIA,Hanwha Life Esports,2021-04-02,2021-03-19,80%,55.6%
163,2021-04-03,Hanwha Life Esports,DWG KIA,2021-04-02,2021-03-19,55.6%,80%
164,2021-04-01,DRX,T1,2021-03-31,2021-03-17,11.1%,85.7%
165,2021-04-01,T1,DRX,2021-03-31,2021-03-17,85.7%,11.1%
166,2021-03-31,Hanwha Life Esports,NS RED FORCE,2021-03-30,2021-03-16,66.7%,71.4%
167,2021-03-31,NS RED FORCE,Hanwha Life Esports,2021-03-30,2021-03-16,71.4%,66.7%
168,2021-03-28,Liiv Sandbox,DRX,2021-03-27,2021-03-13,42.9%,0%
169,2021-03-28,DRX,Liiv Sandbox,2021-03-27,2021-03-13,0%,42.9%
170,2021-03-28,T1,Hanwha Life Esports,2021-03-27,2021-03-13,85.7%,85.7%
171,2021-03-28,Hanwha Life Esports,T1,2021-03-27,2021-03-13,85.7%,85.7%
172,2021-03-27,Fredit BRION,NS RED FORCE,2021-03-26,2021-03-12,33.3%,50%
173,2021-03-27,NS RED FORCE,Fredit BRION,2021-03-26,2021-03-12,50%,33.3%
174,2021-03-27,DWG KIA,kt Rolster,2021-03-26,2021-03-12,71.4%,30%
175,2021-03-27,kt Rolster,DWG KIA,2021-03-26,2021-03-12,30%,71.4%
176,2021-03-26,Liiv Sandbox,Afreeca Freecs,2021-03-25,2021-03-11,71.4%,11.1%
177,2021-03-26,Afreeca Freecs,Liiv Sandbox,2021-03-25,2021-03-11,11.1%,71.4%
178,2021-03-26,Gen.G eSports,DRX,2021-03-25,2021-03-11,50%,14.3%
179,2021-03-25,kt Rolster,NS RED FORCE,2021-03-24,2021-03-10,14.3%,57.1%
180,2021-03-25,NS RED FORCE,kt Rolster,2021-03-24,2021-03-10,57.1%,14.3%
181,2021-03-25,Hanwha Life Esports,Fredit BRION,2021-03-24,2021-03-10,85.7%,33.3%
182,2021-03-25,Fredit BRION,Hanwha Life Esports,2021-03-24,2021-03-10,33.3%,85.7%
183,2021-03-21,T1,Afreeca Freecs,2021-03-20,2021-03-06,100%,0%
184,2021-03-21,Afreeca Freecs,T1,2021-03-20,2021-03-06,0%,100%
185,2021-03-21,DWG KIA,DRX,2021-03-20,2021-03-06,77.8%,42.9%
186,2021-03-21,DRX,DWG KIA,2021-03-20,2021-03-06,42.9%,77.8%
187,2021-03-20,kt Rolster,Gen.G eSports,2021-03-19,2021-03-05,0%,44.4%
188,2021-03-20,Gen.G eSports,kt Rolster,2021-03-19,2021-03-05,44.4%,0%
189,2021-03-20,Fredit BRION,Liiv Sandbox,2021-03-19,2021-03-05,33.3%,71.4%
190,2021-03-20,Liiv Sandbox,Fredit BRION,2021-03-19,2021-03-05,71.4%,33.3%
191,2021-03-19,DRX,T1,2021-03-18,2021-03-04,62.5%,66.7%
192,2021-03-19,T1,DRX,2021-03-18,2021-03-04,66.7%,62.5%
